時間,開盤價,最高價,最低價,收盤價,外資及陸資交易買口,外資及陸資交易賣口,外資及陸資交易淨口,投信交易買口,投信交易賣口,投信交易淨口,自營商交易買口,自營商交易賣口,自營商交易淨口,外資及陸資未平倉買口,外資及陸資未平倉賣口,外資及陸資未平倉淨口,投信未平倉買口,投信未平倉賣口,投信未平倉淨口,自營商未平倉買口,自營商未平倉賣口,自營商未平倉淨口,前十大法人買口,前十大法人賣口,前十大特定法人買口,前十大特定法人賣口,前五大法人買口,前五大法人賣口,前五大特定法人買口,前五大特定法人賣口
2010-01-04,8203,8211,8101,8167,7558口,7712口,-154口,622口,608口,14口,16646口,17029口,-383口,23128口,20483口,2645口,1627口,843口,784口,13197口,4562口,8635口,28076口,17001口,17332口,14601口,17825口,10913口,8528口,10913口
2010-01-05,8212,8260,8125,8178,6648口,6982口,-334口,757口,821口,-64口,24856口,23416口,1440口,24675口,22319口,2356口,1534口,814口,720口,13724口,3683口,10041口,30392口,17852口,19202口,16641口,18858口,11270口,9098口,11270口
2010-01-06,8197,8336,8179,8321,9592口,7982口,1610口,479口,353口,126口,29858口,28432口,1426口,27376口,23386口,3990口,1705口,859口,846口,16969口,5064口,11905口,33355口,18153口,21784口,15299口,21204口,11417口,9633口,9865口
2010-01-07,8335,8355,8230,8260,9757口,17049口,-7292口,391口,298口,93口,27442口,25504口,1938口,22582口,25908口,-3326口,1745口,806口,939口,17788口,4366口,13422口,32146口,20027口,17796口,18260口,21378口,12305口,8482口,12305口
2010-01-08,8287,8297,8183,8277,5954口,7364口,-1410口,495口,562口,-67口,23415口,23519口,-104口,22734口,27464口,-4730口,1753口,881口,872口,19001口,5638口,13363口,32779口,21796口,17778口,19849口,22100口,13084口,8472口,11137口
2010-01-11,8278,8353,8251,8322,7785口,5325口,2460口,677口,533口,144口,20271口,20357口,-86口,25838口,28121口,-2283口,1756口,740口,1016口,19552口,5833口,13719口,33862口,22808口,19986口,20766口,22674口,13655口,8798口,13655口
2010-01-12,8318,8337,8246,8309,6568口,7542口,-974口,360口,236口,124口,24123口,23687口,436口,25508口,28846口,-3338口,1804口,664口,1140口,20188口,6142口,14046口,34669口,23371口,20035口,21407口,23582口,13875口,8948口,13875口
2010-01-13,8259,8275,8191,8215,8394口,11025口,-2631口,295口,497口,-202口,26480口,27576口,-1096口,25111口,31208口,-6097口,1777口,839口,938口,19999口,8082口,11917口,35430口,25389口,18702口,21507口,24457口,14669口,12182口,14669口
2010-01-14,8246,8328,8236,8299,8366口,8409口,-43口,538口,363口,175口,21484口,18750口,2734口,27015口,33146口,-6131口,1815口,705口,1110口,22739口,7975口,14764口,38127口,26945口,20157口,22922口,26511口,16122口,10602口,16122口
2010-01-15,8310,8385,8307,8367,9754口,10318口,-564口,419口,714口,-295口,24989口,22604口,2385口,26835口,33520口,-6685口,1467口,662口,805口,25363口,8240口,17123口,40081口,27415口,20262口,21524口,28425口,16933口,10766口,16933口
2010-01-18,8300,8383,8286,8351,15729口,18812口,-3083口,708口,655口,53口,18059口,18653口,-594口,26268口,36043口,-9775口,1519口,661口,858口,25308口,8749口,16559口,40340口,28225口,19662口,26233口,29497口,17554口,10788口,17554口
2010-01-19,8370,8382,8230,8269,22267口,24301口,-2034口,1068口,1284口,-216口,37250口,39428口,-2178口,25616口,37465口,-11849口,1412口,769口,643口,22880口,8825口,14055口,41605口,29074口,21338口,26623口,29843口,17208口,11490口,17208口
2010-01-20,8306,8312,8198,8214,11203口,13616口,-2413口,1038口,1413口,-375口,29054口,31267口,-2213口,18160口,24081口,-5921口,1305口,992口,313口,10026口,6054口,3972口,23670口,20647口,14272口,17218口,16067口,13426口,10760口,11236口
2010-01-21,8185,8213,8112,8134,7441口,14770口,-7329口,727口,888口,-161口,22932口,23310口,-378口,16087口,29321口,-13234口,1450口,1322口,128口,9610口,6548口,3062口,20967口,24937口,11812口,22758口,14300口,15776口,9258口,15776口
2010-01-22,8019,8023,7884,7897,11050口,16161口,-5111口,1182口,1037口,145口,26230口,26171口,59口,17883口,36295口,-18412口,1483口,1234口,249口,9441口,7415口,2026口,22307口,30215口,12880口,26632口,14606口,20000口,8109口,20000口
2010-01-25,7822,7912,7802,7852,6641口,9192口,-2551口,768口,606口,162口,19895口,17200口,2695口,18592口,39532口,-20940口,1537口,1126口,411口,10485口,5958口,4527口,22872口,32252口,12790口,30371口,15154口,21039口,8127口,21039口
2010-01-26,7832,7886,7520,7558,20692口,15004口,5688口,956口,1940口,-984口,43740口,45323口,-1583口,19874口,35288口,-15414口,1426口,1999口,-573口,8738口,5670口,3068口,21540口,28026口,13431口,25024口,14022口,18400口,10356口,18400口
2010-01-27,7574,7633,7509,7535,12582口,12994口,-412口,1115口,619口,496口,22567口,24831口,-2264口,20519口,36478口,-15959口,1456口,1561口,-105口,7437口,6458口,979口,21884口,27841口,14235口,26402口,14702口,18015口,11540口,18015口
2010-01-28,7579,7745,7555,7697,9538口,7442口,2096口,374口,583口,-209口,27265口,26156口,1109口,21078口,34941口,-13863口,1439口,1753口,-314口,7592口,5144口,2448口,22716口,26471口,14980口,25097口,15584口,17826口,12265口,17826口
2010-01-29,7552,7633,7442,7581,12388口,11221口,1167口,612口,739口,-127口,35350口,36358口,-1008口,21634口,34388口,-12754口,1462口,1898口,-436口,7318口,6032口,1286口,23273口,25975口,15360口,24566口,16180口,17234口,12714口,17234口
2010-02-01,7569,7634,7442,7510,11167口,10584口,583口,243口,422口,-179口,30876口,30059口,817口,22969口,35218口,-12249口,1508口,2123口,-615口,8386口,6591口,1795口,26001口,27567口,18155口,26130口,18707口,17554口,14203口,17554口
2010-02-02,7580,7603,7346,7374,15454口,9344口,6110口,469口,544口,-75口,34054口,34588口,-534口,26914口,33045口,-6131口,1595口,2285口,-690口,8924口,7622口,1302口,28929口,29366口,21679口,23925口,21050口,18908口,16699口,18908口
2010-02-03,7456,7528,7390,7501,11488口,11971口,-483口,675口,322口,353口,31275口,31795口,-520口,26397口,33125口,-6728口,1695口,2032口,-337口,8852口,7718口,1134口,28907口,29289口,21738口,25386口,21976口,18629口,17861口,18629口
2010-02-04,7503,7538,7460,7505,7564口,5375口,2189口,237口,146口,91口,16632口,18380口,-1748口,26355口,30921口,-4566口,1775口,2021口,-246口,7652口,8196口,-544口,29107口,28384口,21814口,22817口,22622口,18062口,18138口,18062口
2010-02-05,7300,7321,7130,7202,16922口,15070口,1852口,459口,685口,-226口,34523口,36292口,-1769口,29140口,31849口,-2709口,1575口,2047口,-472口,6610口,9013口,-2403口,29960口,31454口,24971口,24614口,22779口,21645口,19461口,18059口
2010-02-06,7229,7236,7056,7155,3040口,4162口,-1122口,351口,600口,-249口,28402口,28111口,291口,29132口,32963口,-3831口,1667口,2388口,-721口,6003口,8625口,-2622口,28519口,31829口,23515口,25194口,21295口,20559口,19210口,20559口
2010-02-08,7155,7235,7125,7162,15421口,12293口,3128口,671口,442口,229口,20853口,22175口,-1322口,31218口,31967口,-749口,1664口,2156口,-492口,4679口,8833口,-4154口,28005口,30662口,25565口,24322口,21238口,20367口,21238口,20367口
2010-02-09,7171,7344,7151,7316,22806口,23321口,-515口,1365口,907口,458口,28618口,27852口,766口,31165口,32382口,-1217口,1544口,1527口,17口,5211口,7568口,-2357口,27948口,32264口,25507口,26363口,20716口,21570口,20716口,21570口
2010-02-10,7350,7479,7345,7414,22429口,20277口,2152口,1045口,989口,56口,32477口,32955口,-478口,33069口,32135口,934口,1583口,1509口,74口,5526口,8095口,-2569口,29476口,30167口,27263口,24468口,22390口,19443口,22390口,19443口
2010-02-22,7708,7708,7553,7558,13702口,17339口,-3637口,892口,669口,223口,22039口,21754口,285口,21066口,24089口,-3023口,1544口,1248口,296口,4953口,2698口,2255口,22714口,21769口,17712口,16714口,16265口,14924口,14692口,12718口
2010-02-23,7534,7552,7451,7537,6808口,6933口,-125口,276口,246口,30口,19233口,18638口,595口,20897口,24098口,-3201口,1547口,1221口,326口,5915口,3268口,2647口,23056口,22260口,17422口,16729口,16016口,14989口,14353口,12733口
2010-02-24,7468,7545,7458,7481,7954口,6943口,1011口,94口,165口,-71口,15433口,16589口,-1156口,23413口,25576口,-2163口,1532口,1277口,255口,5239口,3561口,1678口,22999口,22794口,19433口,18718口,16662口,15480口,16662口,11404口
2010-02-25,7505,7522,7335,7368,14724口,12177口,2547口,34口,335口,-301口,28556口,29865口,-1309口,27152口,26875口,277口,1446口,1492口,-46口,4346口,4880口,-534口,25074口,24353口,23912口,20277口,18201口,16289口,18201口,14033口
2010-02-26,7378,7434,7341,7383,6205口,7241口,-1036口,211口,440口,-229口,16630口,16527口,103口,26523口,27316口,-793口,1428口,1703口,-275口,4359口,4679口,-320口,25107口,24532口,22808口,20683口,18631口,16473口,18631口,14479口
2010-03-01,7413,7605,7395,7571,10736口,9129口,1607口,268口,109口,159口,30940口,27177口,3763口,29156口,28262口,894口,1431口,1547口,-116口,8604口,4126口,4478口,28356口,25372口,22787口,21423口,19571口,16678口,19571口,14684口
2010-03-02,7595,7649,7569,7598,5140口,5930口,-790口,459口,168口,291口,16196口,16335口,-139口,28426口,28334口,92口,1454口,1279口,175口,8491口,4153口,4338口,28213口,25405口,22433口,22056口,19224口,17159口,19224口,15165口
2010-03-03,7596,7664,7578,7612,5465口,5478口,-13口,105口,114口,-9口,16917口,16573口,344口,27957口,27896口,61口,1450口,1284口,166口,8405口,4039口,4366口,27600口,25180口,22038口,21761口,18615口,16849口,18615口,14825口
2010-03-04,7622,7639,7463,7527,11354口,8033口,3321口,180口,204口,-24口,27219口,29947口,-2728口,30529口,27153口,3376口,1447口,1305口,142口,5786口,4513口,1273口,28655口,24803口,24090口,21315口,19781口,16605口,19781口,14581口
2010-03-05,7603,7692,7558,7656,9687口,10514口,-827口,250口,349口,-99口,28376口,27562口,814口,30629口,28075口,2554口,1444口,1400口,44口,7568口,4947口,2621口,29210口,25012口,23857口,20042口,19482口,16794口,19482口,14770口
2010-03-08,7729,7758,7686,7756,6700口,5110口,1590口,102口,28口,74口,17107口,16878口,229口,31772口,27595口,4177口,1447口,1329口,118口,8928口,5608口,3320口,30391口,25213口,26189口,19543口,20170口,16230口,17305口,14206口
2010-03-09,7771,7774,7724,7764,4390口,4599口,-209口,235口,37口,198口,11908口,11911口,-3口,31912口,27937口,3975口,1450口,1134口,316口,9044口,5742口,3302口,30898口,25249口,25957口,19548口,19860口,16781口,17075口,14320口
2010-03-10,7771,7792,7703,7769,7560口,8476口,-916口,237口,173口,64口,17835口,17408口,427口,32208口,29144口,3064口,1450口,1070口,380口,9900口,6129口,3771口,32385口,24729口,26480口,19299口,21423口,16732口,17424口,14355口
2010-03-11,7800,7808,7731,7758,8873口,9263口,-390口,333口,167口,166口,18922口,18221口,701口,33536口,30863口,2673口,1585口,1039口,546口,9915口,5640口,4275口,33771口,25549口,27992口,21710口,22548口,16544口,18360口,16544口
2010-03-12,7785,7788,7711,7752,7251口,8590口,-1339口,64口,60口,4口,11634口,13412口,-1778口,33093口,31758口,1335口,1592口,1042口,550口,8914口,6338口,2576口,32969口,25878口,28023口,23567口,21680口,17704口,18249口,15393口
2010-03-15,7756,7758,7631,7655,22749口,22209口,540口,856口,1362口,-506口,28199口,29629口,-1430口,35287口,33417口,1870口,1438口,1394口,44口,9129口,8228口,901口,35317口,27245口,31701口,23540口,23498口,19750口,19882口,16045口
2010-03-16,7651,7707,7642,7704,21797口,20249口,1548口,789口,741口,48口,12568口,14288口,-1720口,39061口,35620口,3441口,1437口,1346口,91口,7278口,8153口,-875口,34796口,30011口,32111口,25271口,23717口,20607口,23717口,15867口
2010-03-17,7750,7844,7745,7842,19502口,16812口,2690口,1225口,822口,403口,32140口,33732口,-1592口,19828口,19952口,-124口,1367口,755口,612口,4296口,2603口,1693口,21491口,17797口,17265口,15537口,17143口,12496口,14240口,11307口
2010-03-18,7837,7922,7818,7849,6081口,10015口,-3934口,425口,108口,317口,19984口,18616口,1368口,18290口,22349口,-4059口,1671口,738口,933口,5562口,2838口,2724口,21941口,18227口,16383口,17027口,17320口,12585口,13836口,12585口
2010-03-19,7850,7884,7826,7867,4827口,3953口,874口,36口,48口,-12口,11960口,11370口,590口,19137口,22351口,-3214口,1661口,740口,921口,6221口,2907口,3314口,22661口,18526口,16673口,16265口,17635口,12915口,14007口,12915口
2010-03-22,7830,7840,7745,7803,6927口,7669口,-742口,198口,390口,-192口,20246口,21142口,-896口,19216口,23234口,-4018口,1597口,868口,729口,5446口,3324口,2122口,22468口,18381口,16785口,17033口,17996口,12636口,14019口,11288口
2010-03-23,7850,7863,7756,7805,8047口,7121口,926口,112口,158口,-46口,18976口,20042口,-1066口,18837口,22047口,-3210口,1612口,929口,683口,5163口,4018口,1145口,22309口,18308口,16575口,15678口,18451口,12635口,14146口,11205口
2010-03-24,7865,7876,7804,7814,7124口,7828口,-704口,162口,195口,-33口,16602口,16697口,-95口,19744口,23743口,-3999口,1677口,1027口,650口,5431口,4416口,1015口,22698口,19972口,16774口,16834口,18604口,13179口,14260口,10041口
2010-03-25,7792,7858,7716,7809,10607口,12509口,-1902口,241口,161口,80口,30763口,30831口,-68口,19352口,25301口,-5949口,1687口,957口,730口,5362口,4708口,654口,22003口,21201口,16697口,17989口,18046口,14246口,14220口,12506口
2010-03-26,7809,7917,7724,7883,16369口,8861口,7508口,272口,594口,-322口,29829口,31076口,-1247口,20480口,18895口,1585口,1651口,1243口,408口,5976口,5721口,255口,22547口,18035口,16361口,12412口,17599口,11144口,14386口,7029口
2010-03-29,7912,7966,7885,7956,6030口,7465口,-1435口,78口,31口,47口,17712口,17475口,237口,20589口,20465口,124口,1651口,1196口,455口,6405口,5833口,572口,23452口,18590口,17574口,13021口,18443口,11384口,15047口,7323口
2010-03-30,7977,7991,7940,7959,5027口,6234口,-1207口,150口,133口,17口,11515口,12203口,-688口,20616口,21711口,-1095口,1660口,1188口,472口,6081口,6158口,-77口,23550口,19927口,17956口,13893口,18932口,12069口,15428口,9384口
2010-03-31,7946,7970,7895,7908,6670口,6515口,155口,78口,215口,-137口,14257口,14779口,-522口,21006口,21957口,-951口,1590口,1255口,335口,6356口,7156口,-800口,23504口,21021口,17923口,14424口,18962口,13098口,15448口,9895口
2010-04-01,7940,8041,7926,8024,8455口,8460口,-5口,186口,71口,115口,24042口,22825口,1217口,22394口,23334口,-940口,1601口,1151口,450口,7652口,7188口,464口,24798口,21011口,17941口,15247口,19271口,12887口,15405口,10563口
2010-04-02,8024,8047,8015,8037,3560口,3166口,394口,340口,65口,275口,7670口,7901口,-231口,21676口,22222口,-546口,1601口,871口,730口,7588口,6852口,736口,25311口,20181口,18443口,14302口,19523口,12872口,15539口,10460口
2010-04-06,8071,8142,8062,8095,12437口,10526口,1911口,118口,113口,5口,21371口,21485口,-114口,26951口,25586口,1365口,1590口,855口,735口,7976口,6838口,1138口,29622口,20938口,22316口,15369口,22471口,12429口,20147口,10363口
2010-04-07,8125,8140,8095,8124,6461口,8724口,-2263口,91口,68口,23口,12193口,10734口,1459口,27267口,28169口,-902口,1596口,838口,758口,9358口,6760口,2598口,30749口,21953口,22849口,16680口,22735口,12922口,19990口,10896口
2010-04-08,8110,8170,8045,8081,10822口,12390口,-1568口,137口,256口,-119口,32847口,32740口,107口,27202口,29477口,-2275口,1611口,972口,639口,8961口,6603口,2358口,30857口,22404口,23714口,18858口,23324口,13263口,20014口,13263口
2010-04-09,8077,8105,8046,8099,6104口,7729口,-1625口,121口,363口,-242口,13853口,12319口,1534口,27515口,31472口,-3957口,1607口,1210口,397口,10407口,6695口,3712口,31350口,24292口,21896口,20742口,23259口,15175口,19972口,15175口
2010-04-12,8158,8168,8086,8126,6866口,9109口,-2243口,172口,219口,-47口,17865口,17144口,721口,27673口,33829口,-6156口,1562口,1212口,350口,11396口,6985口,4411口,32014口,26206口,22132口,22530口,23578口,16350口,20208口,16350口
2010-04-13,8086,8119,8013,8019,12672口,13097口,-425口,198口,368口,-170口,29888口,30788口,-900口,27063口,33636口,-6573口,1614口,1434口,180口,10139口,7478口,2661口,31019口,26287口,22417口,21269口,23233口,17374口,20105口,17374口
2010-04-14,8065,8114,8038,8111,7455口,5665口,1790口,262口,142口,120口,17814口,16623口,1191口,28564口,33325口,-4761口,1562口,1262口,300口,11353口,7349口,4004口,31949口,26905口,22163口,21443口,23330口,17649口,20239口,17649口
2010-04-15,8153,8196,8130,8162,8952口,7740口,1212口,196口,113口,83口,19323口,19180口,143口,29280口,32834口,-3554口,1563口,1180口,383口,12166口,7940口,4226口,32458口,27473口,23211口,21154口,24509口,17731口,20835口,15080口
2010-04-16,8147,8155,8070,8102,13011口,14410口,-1399口,223口,532口,-309口,24117口,23691口,426口,28414口,33399口,-4985口,1355口,1281口,74口,11711口,7353口,4358口,32764口,27031口,22483口,19731口,25521口,17778口,21541口,17778口
2010-04-19,8002,8033,7821,7825,22593口,25030口,-2437口,839口,1615口,-776口,36059口,36173口,-114口,31038口,38502口,-7464口,1290口,1992口,-702口,11993口,8544口,3449口,33684口,30680口,23539口,24046口,27033口,20527口,22480口,17846口
2010-04-20,7880,7911,7825,7877,24633口,21066口,3567口,986口,1140口,-154口,23427口,22533口,894口,35306口,39174口,-3868口,1245口,2101口,-856口,11486口,7739口,3747口,38152口,30323口,27770口,22548口,29861口,20355口,24752口,20355口
2010-04-21,7950,7998,7923,7980,24229口,22183口,2046口,1264口,823口,441口,33079口,32533口,546口,24687口,23342口,1345口,1252口,1586口,-334口,4558口,4226口,332口,26002口,21326口,21344口,16876口,19457口,14599口,17192口,10149口
2010-04-22,7905,7953,7843,7923,12027口,10187口,1840口,182口,228口,-46口,24859口,23974口,885口,25477口,22424口,3053口,1262口,1642口,-380口,5497口,4207口,1290口,25792口,22279口,21219口,13093口,19833口,14232口,17562口,6726口
2010-04-23,7951,7983,7937,7959,8177口,7222口,955口,180口,92口,88口,12582口,13183口,-601口,25044口,21047口,3997口,1262口,1554口,-292口,5759口,4892口,867口,25370口,20107口,20432口,12111口,18864口,12585口,16533口,6064口
2010-04-26,8077,8162,8070,8146,7034口,9506口,-2472口,1107口,66口,1041口,22320口,19874口,2446口,25417口,23880口,1537口,1490口,741口,749口,8063口,4257口,3806口,27605口,20371口,20763口,15509口,19639口,12907口,16812口,8045口
2010-04-27,8148,8152,8109,8129,4198口,5907口,-1709口,169口,144口,25口,11440口,11361口,79口,24480口,24681口,-201口,1525口,751口,774口,8250口,4306口,3944口,27263口,20520口,20474口,15743口,19328口,12889口,16649口,8112口
2010-04-28,7961,8059,7920,8036,10656口,13516口,-2860口,235口,294口,-59口,24862口,25203口,-341口,23975口,27069口,-3094口,1576口,861口,715口,7701口,4276口,3425口,26026口,22099口,19332口,17288口,18390口,14325口,16089口,9514口
2010-04-29,8036,8065,8011,8043,9306口,5932口,3374口,73口,114口,-41口,10427口,12011口,-1584口,22906口,22638口,268口,1570口,896口,674口,6724口,5018口,1706口,25725口,18897口,19634口,12840口,18910口,11833口,16693口,7106口
2010-04-30,8128,8152,7966,7989,12765口,14925口,-2160口,88口,182口,-94口,28655口,29744口,-1089口,22637口,24593口,-1956口,1552口,972口,580口,5718口,5105口,613口,25013口,21097口,19640口,16339口,18873口,13125口,16625口,8367口
2010-05-03,7925,8001,7876,7932,10162口,11978口,-1816口,209口,583口,-374口,24651口,25106口,-455口,21981口,25805口,-3824口,1275口,1069口,206口,5178口,5065口,113口,23702口,21174口,19190口,16879口,18557口,12989口,16282口,8694口
2010-05-04,7968,7982,7848,7881,10154口,9821口,333口,524口,213口,311口,27608口,27939口,-331口,22804口,26434口,-3630口,1437口,920口,517口,4858口,5156口,-298口,22329口,22457口,19314口,18254口,17762口,13454口,15579口,11294口
2010-05-05,7690,7750,7649,7655,14514口,16189口,-1675口,176口,938口,-762口,31848口,31749口,99口,21921口,27327口,-5406口,1266口,1511口,-245口,4897口,6453口,-1556口,19905口,22053口,17813口,18201口,15356口,13359口,13264口,9507口
2010-05-06,7643,7669,7512,7578,14853口,11672口,3181口,91口,284口,-193口,28699口,28788口,-89口,23006口,25271口,-2265口,1261口,1699口,-438口,4594口,6122口,-1528口,20575口,22003口,18487口,18155口,15859口,13756口,13771口,11808口
2010-05-07,7352,7547,7351,7504,21987口,19684口,2303口,397口,99口,298口,38935口,38568口,367口,26886口,26884口,2口,1309口,1449口,-140口,5546口,6839口,-1293口,23838口,22582口,21676口,20560口,18922口,15091口,16760口,13069口
2010-05-10,7564,7638,7531,7635,15264口,11464口,3800口,258口,498口,-240口,21094口,22056口,-962口,28432口,24629口,3803口,1325口,1705口,-380口,5105口,7195口,-2090口,25524口,23147口,22482口,19467口,20089口,15741口,17971口,13763口
2010-05-11,7570,7697,7555,7570,15741口,12102口,3639口,139口,223口,-84口,28459口,29867口,-1408口,32052口,24651口,7401口,1345口,1809口,-464口,5390口,8085口,-2695口,27084口,23806口,24966口,18091口,19954口,15627口,17836口,11439口
2010-05-12,7630,7658,7541,7586,11297口,10648口,649口,144口,158口,-14口,26442口,26165口,277口,32865口,24755口,8110口,1325口,1803口,-478口,5240口,8081口,-2841口,27754口,23475口,25635口,16609口,19788口,15135口,17669口,13156口
2010-05-13,7698,7777,7660,7763,14870口,14944口,-74口,635口,110口,525口,27840口,26190口,1650口,35941口,27361口,8580口,1328口,1281口,47口,6936口,7851口,-915口,30959口,23583口,27535口,18479口,21827口,14964口,21827口,14964口
2010-05-14,7712,7766,7702,7756,14193口,15564口,-1371口,92口,112口,-20口,15979口,15848口,131口,36547口,29335口,7212口,1274口,1247口,27口,6425口,6916口,-491口,32916口,24857口,29512口,21202口,24342口,15164口,24342口,15164口
2010-05-17,7680,7682,7555,7602,31221口,30590口,631口,732口,1279口,-547口,34464口,36358口,-1894口,42302口,34487口,7815口,1263口,1783口,-520口,5378口,7910口,-2532口,37008口,30450口,34883口,26322口,26875口,18567口,26875口,18567口
2010-05-18,7610,7640,7576,7616,30785口,31822口,-1037口,1037口,1102口,-65口,19406口,21289口,-1883口,42177口,35414口,6763口,1288口,1873口,-585口,4081口,8421口,-4340口,37353口,30321口,34024口,26109口,27904口,19398口,27904口,19398口
2010-05-19,7518,7587,7468,7576,26600口,31241口,-4641口,1017口,1565口,-548口,35425口,36023口,-598口,25334口,24850口,484口,1394口,2425口,-1031口,2744口,6870口,-4126口,25465口,23200口,22371口,18421口,20969口,14263口,18842口,11471口
2010-05-20,7509,7514,7356,7364,16433口,14162口,2271口,133口,433口,-300口,25446口,28180口,-2734口,27304口,24596口,2708口,1394口,2724口,-1330口,2968口,9840口,-6872口,26656口,24870口,23346口,18639口,21109口,16113口,18982口,11869口
2010-05-21,7164,7247,7112,7206,15462口,10151口,5311口,84口,196口,-112口,24284口,24636口,-352口,31540口,23519口,8021口,1428口,2870口,-1442口,3235口,10447口,-7212口,29250口,24788口,25874口,16485口,22830口,15863口,20691口,11079口
2010-05-24,7224,7319,7214,7274,15247口,15597口,-350口,489口,381口,108口,18359口,17929口,430口,30912口,23192口,7720口,1446口,2780口,-1334口,4620口,10692口,-6072口,27897口,24898口,24438口,16294口,21632口,16443口,19483口,11368口
2010-05-25,7188,7189,7006,7052,19710口,18534口,1176口,119口,338口,-219口,31636口,33981口,-2345口,32384口,23531口,8853口,1460口,3013口,-1553口,4104口,12649口,-8545口,29858口,24759口,26345口,15469口,21692口,16492口,19531口,9149口
2010-05-26,7122,7154,7045,7123,13913口,16585口,-2672口,767口,206口,561口,23898口,23617口,281口,30802口,24630口,6172口,1460口,2452口,-992口,4029口,12106口,-8077口,28526口,25361口,25024口,16637口,21968口,16413口,19785口,9732口
2010-05-27,7103,7234,7056,7200,14553口,14162口,391口,298口,197口,101口,27882口,26929口,953口,30278口,23727口,6551口,1469口,2360口,-891口,4399口,11376口,-6977口,29394口,24499口,25789口,16097口,22889口,16207口,20684口,9552口
2010-05-28,7289,7328,7221,7277,17949口,15173口,2776口,771口,29口,742口,24386口,25462口,-1076口,31739口,22410口,9329口,1468口,1617口,-149口,4711口,12580口,-7869口,30406口,24240口,26745口,13197口,22900口,16192口,20697口,8592口
2010-05-31,7302,7333,7255,7325,9532口,7932口,1600口,112口,115口,-3口,13897口,13780口,117口,32563口,21582口,10981口,1498口,1650口,-152口,5126口,13293口,-8167口,31643口,24465口,26340口,12662口,23139口,15980口,23139口,8037口
2010-06-01,7283,7321,7220,7243,16042口,13424口,2618口,167口,648口,-481口,28424口,28474口,-50口,34545口,20948口,13597口,1481口,2114口,-633口,5278口,13595口,-8317口,32505口,23839口,28304口,11549口,23830口,15989口,23830口,5631口
2010-06-02,7193,7282,7101,7140,17870口,14589口,3281口,109口,979口,-870口,29671口,30733口,-1062口,38808口,22385口,16423口,1478口,2981口,-1503口,5123口,14478口,-9355口,35114口,25355口,30573口,12444口,24843口,16427口,24843口,5624口
2010-06-03,7253,7341,7252,7338,14414口,12495口,1919口,905口,563口,342口,22988口,22379口,609口,42796口,24258口,18538口,1477口,2638口,-1161口,6750口,14876口,-8126口,37597口,26225口,32893口,12938口,26089口,16895口,26089口,5699口
2010-06-04,7338,7348,7305,7318,6754口,8045口,-1291口,152口,230口,-78口,10430口,9614口,816口,42633口,25537口,17096口,1472口,2711口,-1239口,6684口,13840口,-7156口,37880口,26770口,33652口,14500口,26230口,17034口,26230口,8771口
2010-06-07,7100,7128,7035,7097,19279口,16517口,2762口,187口,745口,-558口,28031口,29198口,-1167口,44840口,25158口,19682口,1447口,3244口,-1797口,6018口,14837口,-8819口,39263口,31380口,35111口,18039口,27188口,20768口,27188口,13821口
2010-06-08,7097,7139,7075,7128,9316口,9498口,-182口,25口,94口,-69口,15931口,15794口,137口,44963口,25458口,19505口,1442口,3308口,-1866口,5732口,14380口,-8648口,39544口,30192口,35238口,17852口,27357口,20311口,27357口,14018口
2010-06-09,7080,7139,6990,7037,13894口,13056口,838口,119口,271口,-152口,27050口,26969口,81口,45886口,25694口,20192口,1449口,3467口,-2018口,5978口,15069口,-9091口,40471口,31982口,35933口,16327口,28520口,21252口,28520口,11813口
2010-06-10,7068,7164,7038,7161,11797口,13329口,-1532口,172口,350口,-178口,25432口,21287口,4145口,45275口,26596口,18679口,1467口,3653口,-2186口,8537口,13020口,-4483口,40240口,32719口,35429口,18372口,27750口,22100口,27750口,14053口
2010-06-11,7316,7317,7244,7292,10979口,13925口,-2946口,599口,84口,515口,18102口,18325口,-223口,44299口,28547口,15752口,1449口,3120口,-1671口,9201口,13634口,-4433口,39954口,30345口,35124口,16728口,27041口,20098口,27041口,14732口
2010-06-14,7356,7395,7336,7386,22315口,22128口,187口,748口,760口,-12口,18389口,16594口,1795口,43583口,27501口,16082口,1444口,3127口,-1683口,8916口,11403口,-2487口,38873口,29687口,34023口,20627口,26198口,19733口,26198口,15146口
2010-06-15,7378,7498,7364,7457,25546口,28210口,-2664口,1043口,1156口,-113口,25153口,24419口,734口,40123口,26706口,13417口,1445口,3241口,-1796口,8367口,10000口,-1633口,36339口,27861口,31746口,19621口,26509口,18003口,26509口,14085口
2010-06-17,7518,7537,7479,7520,18460口,20474口,-2014口,1852口,1202口,650口,21677口,20190口,1487口,27313口,16356口,10957口,1418口,2087口,-669口,4472口,6767口,-2295口,29089口,19927口,24852口,13108口,22508口,13815口,20185口,9714口
2010-06-18,7364,7387,7297,7349,7754口,7403口,351口,64口,59口,5口,19336口,18654口,682口,28213口,16931口,11282口,1418口,2082口,-664口,5744口,7365口,-1621口,29284口,21121口,24998口,12077口,22741口,14080口,20395口,9713口
2010-06-21,7440,7525,7408,7521,13060口,14329口,-1269口,280口,19口,261口,25193口,22642口,2551口,28076口,18066口,10010口,1415口,1818口,-403口,6854口,5702口,1152口,30569口,20794口,25385口,14541口,23101口,14098口,20758口,9708口
